Host                                       |State|Time       |Falls|Availab|rTime |AvailabTotal|zPingsMes|PingTotal|PingsMes|
PJ-BARREIRINHAS-FORTEL-20M-315888          |UP   | 0d00h37min|    8| 71,45%|  25ms|  93,12%|   199|  2979|   697|
PJ-BEQUIMAO-FORTEL-10M-328068              |UP   |14d01h30min|    0|100,00%|  23ms|  99,93%|     0|  2979|   697|
PJ-BOM-JARDIM-FORTEL-10M-343412            |UP   |34d23h24min|    0|100,00%|  24ms|  99,66%|     0|  2979|   697|
PJ-BREJO-FORTEL-10M-340212                 |UP   |35d23h34min|    0|100,00%|  52ms| 100,00%|     0|  2979|   697|
PJ-BURITI-BRAVO-FORTEL-10M-343314          |UP   |14d01h07min|    0|100,00%|  13ms|  99,90%|     0|  2979|   697|
PJ-BURITI-FORTEL-10M-342044                |UP   | 0d00h00min|   24| 95,98%|   8ms|  97,35%|    28|  2978|   697|
PJ-BURITICUPU-FORTEL-10M-331014            |UP   |34d23h38min|    0|100,00%|  20ms|  99,97%|     0|  2979|   697|
PJ-CANDIDO-MENDES-FORTEL-10M-341998        |UP   |35d23h05min|    0|100,00%|  21ms|  99,97%|     0|  2979|   697|
PJ-CANTANHEDE-FORTEL-10M-310768            |UP   | 0d00h38min|    1| 99,86%|  20ms|  99,93%|     1|  2979|   697|
PJ-CAROLINA-FORTEL-10M-342164              |UP   |35d00h51min|    0|100,00%|  51ms|  99,73%|     0|  2979|   697|
PJ-CARUTAPERA-FORTEL-10M-343102            |UP   |35d23h05min|    0|100,00%|  21ms|  99,97%|     0|  2979|   697|
PJ-CAXIAS-DISTRITAL-FORTEL-10M-203815-00006|UP   |35d23h34min|    0|100,00%|  51ms| 100,00%|     0|  2979|   697|
PJ-CAXIAS-FORTEL-100M-339554               |UP   |15d00h38min|    0|100,00%|  51ms|  99,93%|     0|  2979|   697|
PJ-CEDRAL-FORTEL-10M-314636                |UP   |34d23h51min|    0|100,00%|  21ms|  99,97%|     0|  2979|   697|
PJ-CHAPADINHA-FORTEL-20M-319638            |UP   |15d00h38min|    0|100,00%|  20ms|  99,90%|     0|  2979|   697|
PJ-CODO-FORTEL-20M-328042                  |UP   |35d23h34min|    0|100,00%|  51ms| 100,00%|     0|  2979|   697|
PJ-COELHO-NETO-FORTEL-10M-340282           |UP   | 0d00h33min|    4| 99,43%|  10ms|  99,36%|     4|  2979|   697|
PJ-COLINAS-FORTEL-10M-321094               |UP   |35d23h34min|    0|100,00%|  13ms| 100,00%|     0|  2979|   697|
PJ-COROATA-FORTEL-10M-340012               |UP   | 0d01h37min|    1| 99,86%|  14ms|  99,66%|     1|  2979|   697|
PJ-CURURUPU-FORTEL-10M-315876              |UP   | 0d01h11min|    1| 99,86%|  21ms|  99,90%|     1|  2979|   697|
PJ-DOM-PEDRO-FORTEL-10M-310738             |UP   |35d23h34min|    0|100,00%|  13ms| 100,00%|     0|  2979|   697|
PJ-ESPERANTINOPOLIS-FORTEL-10M-342002      |DOWN |35d23h34min|    0|  0,00%|   0ms|   0,03%|   697|  2977|   697|
PJ-ESTREITO-FORTEL-10M-335962              |UP   | 0d01h49min|    2| 99,43%|  51ms|  95,27%|     4|  2979|   697|
PJ-EUGENIO-BARROS-FORTEL-10M-343742        |UP   | 0d01h19min|    1| 68,29%|  15ms|  92,58%|   221|  2979|   697|
PJ-GRAJAU-FORTEL-10M-314138                |UP   |34d23h51min|    0|100,00%|  20ms|  99,97%|     0|  2979|   697|
PJ-GUIMARAES-FORTEL-10M-317330             |UP   |15d00h50min|    0|100,00%|  38ms|  99,50%|     0|  2979|   697|
