Host                                       |State|Time       |Falls|Availab|rTime |AvailabTotal|zPingsMes|PingTotal|PingsMes|
PJ-SAO-JOAO-BATISTA-FORTEL-10M-282360      |UP   |12d22h18min|    2| 99,72%|  21ms|  99,72%|     2|   719|   719|
PJ-SAO-JOAO-PATOS-FORTEL-10M-331626        |UP   |12d22h40min|    1| 99,86%|  26ms|  99,86%|     1|   719|   719|
PJ-SAO-MATEUS-FORTEL-10M-339356            |UP   |12d22h40min|    1| 99,86%|  12ms|  99,86%|     1|   719|   719|
PJ-SAO-PEDRO-AGUA-FORTEL-10M-343450        |UP   |12d22h40min|    1| 99,86%|  22ms|  99,86%|     1|   719|   719|
PJ-SAO-VICENTE-FORTEL-10M-310728           |UP   |12d22h40min|    1| 99,86%|  21ms|  99,86%|     1|   719|   719|
PJ-SENADOR-LA-ROCQUE-FORTEL-10M-335940     |DOWN | 0d00h18min|    9| 94,99%|   0ms|  94,99%|    36|   719|   719|
PJ-SLZ-GONZAGA-FORTEL-10M-317438           |UP   |12d22h40min|    1| 99,86%|  13ms|  99,86%|     1|   719|   719|
PJ-ST-ANTONIO-LOPES-FORTEL-10M-317436      |UP   |12d22h40min|    1| 99,86%|  14ms|  99,86%|     1|   719|   719|
PJ-ST-HELENA-FORTEL-10M-339028             |UP   |12d22h40min|    1| 99,86%|  21ms|  99,86%|     1|   719|   719|
PJ-ST-INES-FORTEL-20M-288108               |UP   |12d22h40min|    1| 99,86%|  13ms|  99,86%|     1|   719|   719|
PJ-ST-LUZIA-FORTEL-10M-322306              |UP   |12d22h13min|   60| 79,97%|  32ms|  79,97%|   144|   719|   719|
PJ-ST-LUZIA-PARUA-FORTEL-10M-149307-00101  |UP   | 8d21h39min|    0|100,00%|  19ms| 100,00%|     0|    42|    42|
PJ-ST-LUZIA-PARUA-FORTEL-10M-345676        |UP   |12d22h40min|    1| 99,86%|  20ms|  99,86%|     1|   719|   719|
PJ-ST-LUZIA-PARUA-FORTEL-10M-SEM-CODIGO    |DOWN |12d23h47min|    0|  0,15%|   0ms|   0,15%|   675|   676|   676|
PJ-ST-QUITERIA-FORTEL-10M-338666           |UP   | 0d00h01min|    5| 99,30%|  22ms|  99,30%|     5|   719|   719|
PJ-ST-RITA-FORTEL-10M-320144               |UP   |12d22h19min|    2| 99,72%|  29ms|  99,72%|     2|   719|   719|
PJ-TIMBIRAS-FORTEL-10M-323914              |UP   |12d22h14min|   57| 85,81%| 132ms|  85,81%|   102|   719|   719|
PJ-TIMON-FORTEL-100M-294208                |UP   |12d22h19min|    3| 99,58%|  23ms|  99,58%|     3|   719|   719|
PJ-TIMON-SHOPPING-FORTEL-10M-341054        |UP   |12d22h19min|    2| 99,58%|  23ms|  99,58%|     3|   719|   719|
PJ-TUNTUM-FORTEL-10M-322678                |UP   |12d22h40min|    1| 99,86%|  22ms|  99,86%|     1|   719|   719|
PJ-TURIACU-FORTEL-10M-321156               |UP   |12d22h31min|    2| 99,72%|  23ms|  99,72%|     2|   719|   719|
PJ-TUTOIA-FORTEL-10M-315848                |UP   |12d22h40min|    1| 99,86%|  23ms|  99,86%|     1|   719|   719|
PJ-URBANO-SANTOS-FORTEL-10M-305036         |UP   |12d22h20min|    4| 99,44%|  23ms|  99,44%|     4|   719|   719|
